slice,day,amyloplasts
A,1,15
A,1,12
A,1,10
A,1,9
A,1,17
A,1,18
A,1,3
A,1,17
A,1,10
A,1,16
A,1,17
A,1,12
A,1,15
A,1,12
A,1,10
A,1,8
B,1,18
B,1,23
B,1,20
B,1,17
B,1,13
B,1,22
B,1,13
B,1,22
B,1,15
B,1,23
B,1,30
B,1,32
B,1,20
B,1,28
C,1,16
C,1,14
C,1,13
C,1,11
C,1,10
C,1,19
C,1,15
C,1,12
C,1,15
C,1,12
C,1,15
C,1,9
C,1,20
C,1,20
C,1,12
C,1,7
D,1,18
D,1,17
D,1,29
D,1,31
D,1,16
D,1,34
D,1,22
D,1,21
D,1,37
D,1,35
D,1,21
D,1,23
D,1,20
D,1,18
D,1,25
E,1,17
E,1,13
E,1,25
E,1,15
E,1,12
E,1,12
E,1,20
E,1,20
E,1,16
E,1,15
E,1,14
E,1,20
E,1,21
A,5,8
A,5,0
A,5,14
A,5,1
A,5,2
A,5,8
A,5,3
A,5,0
A,5,4
A,5,15
A,5,9
A,5,6
A,5,3
A,5,14
A,5,0
A,5,12
A,5,0
A,5,0
B,5,5
B,5,0
B,5,1
B,5,0
B,5,3
B,5,2
B,5,0
B,5,3
B,5,2
B,5,15
B,5,2
B,5,8
B,5,2
B,5,4
B,5,14
B,5,0
B,5,1
B,5,0
B,5,0
B,5,3
C,5,9
C,5,8
C,5,12
C,5,2
C,5,10
C,5,3
C,5,0
C,5,0
C,5,12
C,5,0
C,5,5
C,5,2
C,5,0
C,5,2
C,5,16
C,5,4
C,5,0
D,5,10
D,5,0
D,5,12
D,5,0
D,5,14
D,5,21
D,5,8
D,5,0
D,5,1
D,5,1
D,5,0
D,5,0
D,5,10
D,5,28
D,5,0
D,5,0
D,5,1
D,5,0
D,5,0
D,5,0
D,5,1
E,5,10
E,5,1
E,5,10
E,5,0
E,5,0
E,5,0
E,5,15
E,5,11
E,5,7
E,5,0
E,5,0
E,5,1
E,5,3
E,5,13
E,5,12
E,5,20
E,5,15
E,5,2
E,5,18
A,9,0
A,9,0
A,9,1
A,9,0
A,9,4
A,9,0
A,9,0
A,9,0
A,9,0
A,9,0
A,9,0
A,9,0
A,9,0
A,9,0
A,9,0
A,9,0
A,9,1
A,9,0
A,9,0
A,9,0
A,9,0
A,9,3
A,9,2
A,9,0
A,9,0
A,9,0
A,9,1
A,9,0
A,9,0
A,9,0
B,9,4
B,9,4
B,9,3
B,9,0
B,9,0
B,9,0
B,9,0
B,9,0
B,9,0
B,9,0
B,9,0
B,9,1
B,9,0
B,9,0
B,9,0
B,9,0
B,9,0
B,9,0
B,9,0
B,9,3
B,9,0
B,9,0
B,9,0
B,9,0
B,9,0
B,9,1
B,9,3
C,9,12
C,9,0
C,9,1
C,9,1
C,9,0
C,9,0
C,9,3
C,9,0
C,9,3
C,9,0
C,9,1
C,9,0
C,9,0
C,9,7
C,9,2
C,9,0
C,9,0
C,9,0
C,9,0
C,9,6
C,9,0
C,9,0
C,9,0
C,9,2
C,9,8
C,9,0
C,9,0
C,9,0
C,9,0
C,9,10
C,9,13
C,9,0
C,9,0
C,9,0
C,9,1
C,9,0
C,9,3
D,9,26
D,9,0
D,9,0
D,9,8
D,9,0
D,9,0
D,9,5
D,9,4
D,9,9
D,9,5
D,9,9
D,9,5
D,9,0
D,9,0
D,9,0
D,9,24
D,9,7
D,9,12
D,9,0
D,9,0
D,9,0
D,9,1
D,9,0
D,9,0
D,9,0
D,9,0
D,9,4
D,9,10
D,9,3
D,9,7
D,9,0
D,9,2
D,9,18
D,9,0
D,9,0
D,9,0
D,9,0
E,9,0
E,9,0
E,9,1
E,9,0
E,9,0
E,9,0
E,9,0
E,9,0
E,9,0
E,9,0
E,9,0
E,9,4
E,9,0
E,9,0
E,9,0
E,9,0
E,9,0
E,9,0
E,9,0
E,9,10
E,9,0
E,9,0
E,9,0
E,9,0
E,9,0
E,9,0
E,9,0
E,9,0
E,9,0
E,9,0
E,9,0
E,9,0
E,9,0
E,9,0
E,9,0
E,9,0
E,9,12
